Explicict Eueler,,
E_c,E_p,E_m
37.939,0.025,37.964
37.888,0.101,37.989
37.787,0.228,38.015
37.636,0.404,38.040
37.435,0.631,38.065
37.184,0.907,38.091
36.886,1.231,38.116
36.539,1.602,38.142
36.147,2.021,38.167
35.708,2.484,38.193
35.226,2.992,38.218
34.702,3.542,38.244
34.136,4.133,38.269
33.532,4.763,38.295
32.890,5.430,38.320
32.213,6.133,38.346
31.502,6.869,38.372
30.761,7.636,38.397
29.991,8.432,38.423
29.194,9.254,38.449
28.374,10.100,38.474
27.532,10.968,38.500
26.671,11.854,38.526
25.795,12.757,38.551
24.905,13.672,38.577
24.004,14.599,38.603
23.095,15.533,38.629
22.181,16.473,38.654
21.265,17.415,38.680
20.350,18.356,38.706
19.438,19.294,38.731
18.531,20.226,38.757
17.634,21.149,38.783
16.748,22.060,38.808
15.876,22.958,38.834
15.021,23.838,38.860
14.185,24.700,38.885
13.371,25.540,38.910
12.580,26.356,38.936
11.815,27.146,38.961
11.079,27.907,38.986
10.373,28.638,39.011
9.698,29.338,39.036
9.057,30.004,39.060
8.450,30.635,39.085
7.880,31.229,39.109
7.346,31.786,39.133
6.851,32.305,39.156
6.393,32.785,39.179
5.975,33.226,39.201
5.595,33.628,39.223
5.253,33.991,39.244
4.950,34.315,39.265
4.683,34.601,39.284
4.453,34.850,39.303
4.258,35.063,39.321
4.096,35.242,39.338
3.967,35.388,39.354
3.869,35.501,39.370
3.800,35.584,39.385
3.761,35.638,39.399
3.750,35.663,39.413
3.768,35.660,39.428
3.814,35.628,39.442
3.889,35.568,39.457
3.995,35.477,39.472
4.133,35.356,39.489
4.303,35.202,39.506
4.509,35.015,39.524
4.750,34.793,39.543
5.028,34.534,39.562
5.345,34.238,39.583
5.701,33.903,39.604
6.098,33.529,39.626
6.534,33.115,39.649
7.011,32.661,39.672
7.528,32.168,39.696
8.085,31.635,39.720
8.681,31.064,39.745
9.315,30.455,39.769
9.986,29.809,39.795
10.693,29.127,39.820
11.434,28.412,39.845
12.208,27.664,39.871
13.012,26.885,39.897
13.845,26.078,39.923
14.705,25.245,39.949
15.589,24.387,39.976
16.494,23.508,40.002
17.419,22.609,40.029
18.361,21.694,40.055
19.317,20.765,40.082
20.284,19.824,40.109
21.260,18.875,40.136
22.241,17.921,40.162
23.226,16.964,40.189
24.210,16.007,40.216
25.190,15.053,40.243
26.165,14.105,40.270
27.131,13.167,40.297
28.085,12.240,40.325
29.023,11.328,40.352
29.945,10.434,40.379
30.845,9.561,40.406
31.723,8.711,40.433
32.574,7.887,40.460
33.396,7.091,40.488
34.188,6.327,40.515
34.945,5.597,40.542
35.667,4.903,40.570
36.350,4.247,40.597
36.993,3.631,40.624
37.593,3.058,40.652
38.149,2.530,40.679
38.659,2.048,40.707
39.121,1.613,40.734
39.534,1.228,40.762
39.896,0.893,40.789
40.206,0.610,40.817
40.464,0.380,40.844
40.668,0.204,40.872
40.818,0.082,40.900
40.913,0.014,40.927
40.953,0.002,40.955
40.937,0.045,40.982
40.866,0.144,41.010
40.741,0.297,41.038
40.560,0.506,41.066
40.325,0.768,41.093
40.037,1.084,41.121
39.696,1.453,41.149
39.303,1.874,41.177
38.860,2.345,41.205
38.368,2.865,41.232
37.828,3.433,41.260
37.242,4.046,41.288
36.612,4.704,41.316
35.940,5.404,41.344
35.227,6.145,41.372
34.477,6.923,41.400
33.691,7.737,41.428
32.872,8.584,41.456
32.022,9.462,41.484
31.144,10.368,41.512
30.241,11.299,41.540
29.316,12.253,41.568
28.370,13.226,41.597
27.409,14.216,41.625
26.433,15.220,41.653
25.447,16.234,41.681
24.452,17.257,41.709
23.454,18.283,41.737
22.454,19.312,41.765
21.455,20.338,41.793
20.461,21.361,41.821
19.474,22.375,41.850
18.498,23.379,41.878
17.536,24.370,41.906
16.590,25.344,41.934
15.663,26.299,41.962
14.758,27.231,41.990
13.878,28.140,42.017
13.024,29.021,42.045
12.200,29.872,42.073
11.408,30.692,42.100
10.649,31.478,42.127
9.926,32.229,42.154
9.240,32.941,42.181
8.593,33.615,42.208
7.986,34.249,42.234
7.420,34.840,42.260
6.896,35.390,42.286
6.414,35.897,42.311
5.975,36.360,42.335
5.578,36.780,42.359
5.224,37.158,42.382
4.911,37.493,42.404
4.639,37.786,42.425
4.406,38.040,42.446
4.211,38.254,42.465
4.052,38.431,42.483
3.928,38.572,42.501
3.838,38.679,42.517
3.779,38.754,42.533
3.752,38.797,42.549
