E_c,E_p
9.654,0.005
9.649,0.020
9.637,0.046
9.619,0.082
9.596,0.128
9.567,0.184
9.532,0.071
9.525,0.080
9.510,0.101
9.489,0.121
9.463,0.137
9.437,0.159
9.408,0.182
9.378,0.208
9.346,0.236
9.312,0.266
9.277,0.298
9.239,0.331
9.200,0.367
9.160,0.404
9.118,0.443
9.074,0.483
9.029,0.526
8.982,0.570
8.934,0.615
8.884,0.663
8.833,0.712
8.780,0.762
8.726,0.814
8.671,0.868
8.614,0.923
8.556,0.979
8.497,1.037
8.436,1.097
8.375,1.157
8.312,1.219
8.248,1.282
8.184,1.347
8.118,1.412
8.051,1.479
7.984,1.547
7.915,1.616
7.846,1.687
7.776,1.758
7.704,1.830
7.632,1.902
7.559,1.976
7.485,2.051
7.411,2.126
7.336,2.202
7.260,2.278
7.183,2.355
7.106,2.433
7.029,2.511
6.951,2.590
6.872,2.669
6.793,2.748
6.714,2.828
6.635,2.908
6.555,2.988
6.475,3.068
6.395,3.149
6.315,3.229
6.235,3.310
6.155,3.390
6.075,3.471
5.995,3.551
5.916,3.631
5.836,3.711
5.757,3.791
5.678,3.870
5.599,3.949
5.521,4.028
5.444,4.106
5.366,4.184
5.290,4.261
5.213,4.337
5.138,4.413
5.063,4.488
4.989,4.563
4.915,4.637
4.843,4.709
4.771,4.782
4.700,4.853
4.630,4.923
4.561,4.992
4.493,5.061
4.426,5.128
4.360,5.194
4.295,5.259
4.231,5.323
4.168,5.386
4.107,5.448
4.047,5.508
3.988,5.567
3.930,5.625
3.874,5.682
3.819,5.737
3.765,5.791
3.712,5.843
3.661,5.894
3.612,5.944
3.564,5.992
3.517,6.039
3.472,6.084
3.428,6.128
3.386,6.171
3.345,6.212
3.305,6.251
3.267,6.289
3.231,6.326
3.196,6.361
3.163,6.394
3.131,6.426
3.100,6.457
3.071,6.486
3.043,6.513
3.017,6.539
2.993,6.564
2.969,6.587
2.948,6.609
2.927,6.630
2.908,6.649
2.890,6.667
2.874,6.683
2.858,6.698
2.844,6.712
2.832,6.725
2.820,6.737
2.810,6.747
2.801,6.756
2.793,6.764
2.786,6.771
2.781,6.776
2.776,6.781
2.773,6.784
2.770,6.787
2.769,6.788
2.769,6.788
2.770,6.787
2.772,6.785
2.775,6.782
2.779,6.778
2.784,6.773
2.790,6.767
2.798,6.759
2.806,6.751
2.816,6.741
2.827,6.730
2.839,6.718
2.853,6.704
2.867,6.690
2.883,6.674
2.900,6.656
2.919,6.638
2.939,6.618
2.960,6.597
2.983,6.574
3.007,6.550
3.033,6.524
3.060,6.497
3.089,6.469
3.118,6.439
3.150,6.407
3.183,6.374
3.217,6.340
3.253,6.304
3.291,6.267
3.330,6.228
3.370,6.187
3.412,6.145
3.456,6.102
3.501,6.057
3.547,6.011
3.595,5.963
3.644,5.914
3.695,5.863
3.747,5.811
3.801,5.758
3.856,5.703
3.912,5.647
3.969,5.589
4.028,5.531
4.089,5.471
4.150,5.409
4.213,5.347
4.277,5.283
4.342,5.218
4.408,5.152
4.475,5.085
4.543,5.017
4.613,4.948
4.683,4.878
4.754,4.807
4.827,4.735
4.900,4.662
4.974,4.589
5.048,4.514
5.124,4.439
5.200,4.363
5.277,4.287
5.354,4.210
5.432,4.132
5.511,4.054
5.590,3.975
5.669,3.896
5.749,3.816
5.830,3.737
5.910,3.656
5.991,3.576
6.072,3.495
6.153,3.415
6.234,3.334
6.316,3.253
6.397,3.172
6.478,3.091
6.560,3.011
6.641,2.930
6.722,2.850
6.802,2.770
6.883,2.690
6.963,2.610
7.043,2.531
7.122,2.453
7.201,2.375
7.279,2.297
7.356,2.220
7.434,2.144
7.510,2.068
7.586,1.993
7.661,1.919
7.735,1.845
7.808,1.773
7.880,1.701
7.952,1.630
8.022,1.561
8.092,1.492
8.160,1.425
8.227,1.358
8.293,1.293
8.358,1.229
8.422,1.166
8.484,1.105
8.545,1.045
8.605,0.986
8.663,0.928
8.720,0.872
8.775,0.818
8.829,0.765
8.881,0.713
8.932,0.664
8.981,0.615
9.029,0.569
9.075,0.524
9.119,0.480
9.161,0.439
9.202,0.399
9.241,0.361
9.278,0.325
9.314,0.290
9.347,0.258
9.379,0.227
9.409,0.198
9.437,0.171
9.463,0.146
9.487,0.123
9.509,0.102
9.529,0.083
9.547,0.066
9.564,0.050
9.578,0.037
9.590,0.026
9.600,0.017
9.608,0.009
9.615,0.004
9.619,0.001
9.621,0.000
9.621,0.001
9.619,0.004
9.615,0.009
9.609,0.016
9.601,0.025
9.591,0.036
9.579,0.049
9.565,0.064
9.549,0.081
9.531,0.100
9.511,0.121
9.489,0.144
9.465,0.169
9.439,0.196
9.412,0.225
9.382,0.255
9.350,0.288
9.317,0.322
9.282,0.358
9.245,0.396
9.206,0.436
9.165,0.478
9.123,0.521
9.079,0.566
9.033,0.613
8.985,0.661
8.936,0.711
8.885,0.763
8.833,0.816
8.779,0.871
8.724,0.927
8.667,0.985
8.609,1.044
8.549,1.104
8.488,1.166
8.426,1.230
8.362,1.294
8.297,1.360
8.231,1.427
8.164,1.495
8.095,1.564
8.026,1.634
7.955,1.705
7.884,1.778
7.811,1.851
7.738,1.925
7.664,2.000
7.589,2.076
7.513,2.152
7.436,2.230
7.359,2.308
7.281,2.386
7.203,2.465
7.124,2.545
7.044,2.625
6.964,2.705
6.884,2.786
6.803,2.868
6.722,2.949
6.641,3.031
6.560,3.113
6.478,3.195
6.397,3.277
6.315,3.359
6.233,3.441
6.152,3.523
6.070,3.605
5.989,3.687
5.908,3.769
5.827,3.850
5.746,3.931
5.666,4.011
5.586,4.092
5.507,4.171
5.428,4.251
5.350,4.329
5.272,4.408
5.195,4.485
5.118,4.562
5.043,4.638
4.968,4.713
4.893,4.788
4.820,4.861
4.748,4.934
4.676,5.006
4.605,5.077
4.536,5.147
4.467,5.215
4.400,5.283
4.333,5.350
4.268,5.415
4.204,5.479
4.141,5.543
4.080,5.604
4.019,5.665
3.960,5.724
3.902,5.782
3.846,5.838
3.791,5.894
3.737,5.947
3.685,6.000
3.634,6.051
3.585,6.100
3.537,6.148
3.491,6.194
3.446,6.239
3.402,6.283
3.360,6.325
3.320,6.365
3.281,6.404
3.244,6.442
3.208,6.478
3.174,6.512
3.141,6.545
3.110,6.576
3.080,6.606
3.052,6.634
3.025,6.661
2.999,6.686
2.976,6.710
2.953,6.733
2.932,6.754
2.912,6.774
2.894,6.792
2.877,6.809
2.862,6.824
2.847,6.839
2.834,6.852
2.822,6.864
2.812,6.874
2.802,6.884
2.794,6.892
2.787,6.899
2.781,6.905
2.777,6.909
2.773,6.913
2.770,6.915
2.769,6.917
2.769,6.917
2.770,6.916
2.771,6.915
2.774,6.912
2.778,6.908
2.784,6.902
2.790,6.896
2.797,6.889
2.806,6.880
2.816,6.870
2.827,6.859
2.839,6.847
2.853,6.833
2.868,6.818
2.884,6.802
2.901,6.785
2.920,6.766
2.941,6.746
2.962,6.724
2.985,6.701
3.010,6.676
3.036,6.650
3.063,6.623
3.092,6.594
3.123,6.563
3.155,6.531
3.188,6.498
3.223,6.463
3.260,6.426
3.298,6.388
3.338,6.349
3.379,6.308
3.422,6.265
3.466,6.221
3.512,6.175
3.559,6.128
3.608,6.079
3.658,6.029
3.710,5.978
3.763,5.925
3.817,5.870
3.873,5.814
3.931,5.757
3.989,5.698
4.050,5.639
4.111,5.577
4.174,5.515
4.237,5.451
4.303,5.386
4.369,5.320
4.436,5.253
4.505,5.185
4.575,5.115
4.645,5.045
4.717,4.973
4.790,4.901
4.863,4.827
4.938,4.753
5.013,4.678
5.089,4.602
5.166,4.526
5.244,4.448
5.322,4.370
5.401,4.292
5.481,4.212
5.561,4.133
5.642,4.052
5.723,3.972
5.804,3.891
5.886,3.809
5.968,3.728
6.051,3.646
6.133,3.563
6.216,3.481
6.299,3.399
6.382,3.316
6.465,3.234
6.548,3.151
6.631,3.069
6.713,2.987
6.796,2.905
6.878,2.823
6.960,2.742
7.042,2.661
7.123,2.580
7.204,2.500
7.284,2.420
7.364,2.341
7.443,2.263
7.522,2.185
7.600,2.108
7.677,2.031
7.753,1.955
7.829,1.881
7.904,1.807
7.977,1.734
8.050,1.662
8.122,1.591
8.193,1.521
8.262,1.452
8.331,1.384
8.398,1.317
8.464,1.252
8.529,1.188
8.593,1.125
8.655,1.064
8.716,1.004
8.775,0.946
8.833,0.889
8.890,0.833
8.945,0.779
8.998,0.727
9.050,0.676
9.100,0.627
9.148,0.579
9.195,0.533
9.240,0.489
9.283,0.447
9.325,0.406
9.365,0.367
9.403,0.330
9.439,0.295
9.473,0.262
9.505,0.231
9.536,0.201
9.564,0.174
9.590,0.149
9.615,0.125
9.638,0.103
9.658,0.084
9.677,0.066
9.693,0.051
9.708,0.038
9.720,0.026
9.730,0.017
9.739,0.009
9.745,0.004
9.749,0.001
9.751,0.000
9.751,0.001
9.749,0.004
9.745,0.009
9.739,0.016
9.731,0.026
9.721,0.037
9.708,0.050
9.694,0.066
9.678,0.083
9.659,0.103
9.639,0.124
9.616,0.147
9.592,0.173
9.565,0.200
9.537,0.230
9.507,0.261
9.474,0.294
9.440,0.329
9.404,0.366
9.366,0.405
9.327,0.446
9.285,0.488
9.242,0.533
9.197,0.579
9.150,0.626
9.102,0.676
9.052,0.727
9.000,0.779
8.946,0.834
8.891,0.890
8.835,0.947
8.777,1.006
8.718,1.066
8.657,1.128
8.594,1.191
8.531,1.256
8.466,1.321
8.400,1.388
8.332,1.457
8.263,1.526
8.194,1.597
8.123,1.668
8.051,1.741
7.978,1.815
7.904,1.890
7.829,1.965
7.753,2.042
7.677,2.119
7.599,2.197
7.521,2.276
7.442,2.355
7.363,2.436
7.283,2.516
7.202,2.597
7.121,2.679
7.040,2.761
6.958,2.844
6.875,2.927
6.793,3.010
6.710,3.093
6.627,3.177
6.544,3.260
6.461,3.344
6.378,3.428
6.294,3.512
6.211,3.595
6.128,3.679
6.045,3.762
5.962,3.846
5.880,3.928
5.798,4.011
5.716,4.093
5.635,4.175
5.554,4.256
5.473,4.337
5.393,4.417
5.314,4.497
5.235,4.576
5.157,4.654
5.080,4.732
5.004,4.809
4.928,4.885
4.853,4.960
4.779,5.034
4.707,5.107
4.635,5.179
4.564,5.250
4.494,5.320
4.425,5.389
4.357,5.457
4.291,5.524
4.226,5.589
4.162,5.654
4.099,5.716
4.037,5.778
3.977,5.838
3.919,5.897
3.861,5.955
3.805,6.011
3.751,6.066
3.697,6.119
3.646,6.171
3.596,6.221
3.547,6.270
3.500,6.317
3.454,6.363
3.410,6.407
3.367,6.450
3.326,6.491
3.287,6.530
3.249,6.568
3.212,6.605
3.178,6.640
3.144,6.673
3.113,6.705
3.082,6.735
3.054,6.764
3.026,6.791
3.001,6.817
2.977,6.841
2.954,6.864
2.933,6.885
2.913,6.905
2.894,6.923
2.877,6.941
2.861,6.956
2.847,6.971
2.834,6.984
2.822,6.996
2.811,7.006
2.802,7.016
2.794,7.024
2.787,7.031
2.781,7.037
2.776,7.041
2.773,7.045
2.770,7.047
2.769,7.049
2.769,7.049
2.770,7.048
2.772,7.046
2.775,7.043
2.779,7.038
2.785,7.033
2.791,7.026
2.799,7.019
2.808,7.010
2.818,6.999
2.830,6.988
2.842,6.975
2.857,6.961
2.872,6.946
2.889,6.929
2.907,6.911
2.926,6.892
2.947,6.871
2.969,6.848
2.993,6.825
3.018,6.799
3.045,6.773
3.073,6.744
3.103,6.715
3.135,6.683
3.167,6.651
3.202,6.616
3.238,6.580
3.275,6.543
3.315,6.504
3.355,6.463
3.398,6.421
3.442,6.377
3.487,6.331
3.534,6.285
3.582,6.236
3.632,6.186
3.684,6.135
3.737,6.082
3.791,6.028
3.847,5.972
3.905,5.915
3.964,5.856
4.024,5.796
4.085,5.735
4.148,5.672
4.212,5.608
4.278,5.543
4.344,5.476
4.412,5.409
4.481,5.340
4.551,5.270
4.623,5.199
4.695,5.127
4.768,5.054
4.843,4.980
4.918,4.905
4.994,4.829
5.071,4.752
5.149,4.674
5.228,4.596
5.307,4.517
5.387,4.437
5.468,4.357
5.549,4.276
5.631,4.195
5.713,4.113
5.796,4.030
5.879,3.948
5.963,3.864
6.047,3.781
6.131,3.697
6.215,3.614
6.300,3.530
6.384,3.446
6.469,3.362
6.553,3.277
6.638,3.193
6.722,3.110
6.807,3.026
6.891,2.942
6.975,2.859
7.058,2.776
7.141,2.694
7.224,2.611
7.306,2.530
7.388,2.449
7.469,2.368
7.550,2.288
7.630,2.209
7.709,2.130
7.788,2.052
7.866,1.975
7.942,1.899
8.018,1.824
8.093,1.750
8.167,1.677
8.240,1.604
8.312,1.533
8.383,1.463
8.453,1.395
8.521,1.327
8.588,1.261
8.654,1.196
8.718,1.132
8.782,1.070
8.843,1.009
8.903,0.950
8.962,0.892
9.019,0.836
9.075,0.781
9.129,0.728
9.181,0.677
9.232,0.627
9.281,0.579
9.328,0.532
9.374,0.488
9.418,0.445
9.460,0.404
9.500,0.365
9.538,0.328
9.574,0.293
9.609,0.259
9.641,0.228
9.672,0.198
9.700,0.171
9.727,0.145
9.751,0.122
9.774,0.100
9.794,0.081
9.812,0.064
9.829,0.048
9.843,0.035
9.855,0.024
9.865,0.015
9.873,0.008
9.879,0.003
9.883,0.001
9.884,0.000
9.884,0.002
9.881,0.005
9.877,0.011
9.870,0.019
9.861,0.029
9.850,0.041
9.837,0.055
