Midpoint Method,,
E_c,E_p,E_m
37.913,0.025,37.939
37.837,0.101,37.939
37.711,0.227,37.939
37.535,0.403,37.939
37.310,0.629,37.939
37.036,0.903,37.939
36.714,1.225,37.939
36.345,1.594,37.939
35.931,2.008,37.939
35.472,2.467,37.939
34.970,2.968,37.939
34.427,3.511,37.939
33.845,4.094,37.939
33.224,4.715,37.939
32.567,5.371,37.939
31.877,6.062,37.939
31.155,6.784,37.939
30.403,7.535,37.939
29.625,8.314,37.939
28.821,9.118,37.939
27.995,9.944,37.939
27.149,10.789,37.939
26.287,11.652,37.939
25.409,12.529,37.939
24.520,13.418,37.939
23.622,14.316,37.939
22.718,15.221,37.939
21.810,16.129,37.939
20.901,17.038,37.939
19.994,17.945,37.939
19.091,18.848,37.939
18.196,19.743,37.939
17.311,20.628,37.939
16.438,21.501,37.939
15.580,22.359,37.939
14.740,23.199,37.939
13.919,24.019,37.939
13.121,24.818,37.939
12.347,25.592,37.939
11.600,26.339,37.939
10.880,27.059,37.939
10.191,27.748,37.939
9.533,28.405,37.939
8.909,29.030,37.939
8.319,29.620,37.939
7.764,30.174,37.939
7.246,30.693,37.939
6.765,31.174,37.939
6.321,31.617,37.939
5.915,32.023,37.938
5.547,32.392,37.938
5.216,32.723,37.938
4.921,33.017,37.938
4.663,33.275,37.938
4.439,33.499,37.938
4.249,33.689,37.938
4.092,33.846,37.938
3.966,33.972,37.938
3.870,34.068,37.938
3.802,34.136,37.938
3.762,34.176,37.938
3.750,34.188,37.938
3.765,34.173,37.938
3.807,34.131,37.938
3.877,34.061,37.938
3.977,33.962,37.938
4.106,33.832,37.938
4.266,33.672,37.938
4.459,33.479,37.938
4.686,33.252,37.938
4.948,32.991,37.938
5.246,32.693,37.938
5.580,32.358,37.938
5.952,31.986,37.939
6.362,31.577,37.939
6.809,31.130,37.939
7.294,30.645,37.939
7.815,30.123,37.939
8.373,29.565,37.939
8.967,28.972,37.939
9.594,28.344,37.939
10.255,27.684,37.939
10.947,26.992,37.939
11.669,26.270,37.939
12.420,25.519,37.939
13.196,24.743,37.939
13.996,23.942,37.939
14.819,23.120,37.939
15.661,22.278,37.939
16.520,21.419,37.939
17.394,20.545,37.939
18.281,19.658,37.939
19.177,18.762,37.939
20.080,17.859,37.939
20.987,16.952,37.939
21.896,16.043,37.939
22.804,15.135,37.939
23.708,14.231,37.939
24.605,13.334,37.939
25.493,12.446,37.939
26.369,11.570,37.939
27.231,10.708,37.939
28.075,9.864,37.939
28.898,9.041,37.939
29.700,8.239,37.939
30.476,7.463,37.939
31.225,6.714,37.939
31.944,5.995,37.939
32.632,5.307,37.939
33.285,4.654,37.939
33.902,4.037,37.939
34.481,3.458,37.939
35.020,2.919,37.939
35.518,2.421,37.939
35.972,1.967,37.939
36.382,1.557,37.939
36.747,1.192,37.939
37.064,0.875,37.939
37.334,0.605,37.939
37.555,0.385,37.939
37.726,0.213,37.939
37.847,0.092,37.939
37.918,0.021,37.939
37.939,0.000,37.939
37.909,0.030,37.939
37.828,0.111,37.939
37.697,0.242,37.939
37.516,0.423,37.939
37.286,0.653,37.939
37.008,0.932,37.939
36.681,1.258,37.939
36.308,1.631,37.939
35.889,2.050,37.939
35.427,2.513,37.939
34.921,3.018,37.939
34.374,3.565,37.939
33.788,4.152,37.939
33.164,4.776,37.939
32.504,5.435,37.939
31.810,6.129,37.939
31.085,6.854,37.939
30.331,7.608,37.939
29.550,8.390,37.939
28.744,9.195,37.939
27.916,10.023,37.939
27.069,10.871,37.939
26.204,11.735,37.939
25.326,12.613,37.939
24.436,13.503,37.939
23.537,14.402,37.939
22.632,15.307,37.939
21.724,16.216,37.939
20.815,17.124,37.939
19.908,18.031,37.939
19.006,18.933,37.939
18.112,19.828,37.939
17.227,20.712,37.939
16.356,21.583,37.939
15.500,22.439,37.939
14.661,23.278,37.939
13.843,24.096,37.939
13.047,24.893,37.939
12.275,25.664,37.939
11.530,26.409,37.939
10.814,27.126,37.939
10.127,27.812,37.939
9.473,28.467,37.939
8.851,29.088,37.939
8.265,29.675,37.939
7.714,30.226,37.939
7.199,30.740,37.939
6.721,31.218,37.939
6.281,31.658,37.939
5.879,32.060,37.939
5.514,32.425,37.939
5.186,32.753,37.939
4.895,33.044,37.939
4.640,33.299,37.939
4.420,33.519,37.939
4.233,33.706,37.939
4.079,33.860,37.939
3.955,33.983,37.939
3.862,34.077,37.938
3.797,34.141,37.938
3.760,34.178,37.938
3.750,34.188,37.938
3.768,34.171,37.938
3.813,34.126,37.938
3.886,34.053,37.938
3.987,33.951,37.939
4.119,33.819,37.939
4.283,33.656,37.939
4.479,33.460,37.939
4.709,33.230,37.939
4.974,32.964,37.939
5.276,32.663,37.939
5.614,32.325,37.939
5.990,31.950,37.939
6.403,31.536,37.939
6.853,31.086,37.939
7.342,30.598,37.939
7.867,30.072,37.939
8.428,29.511,37.939
9.025,28.914,37.939
9.656,28.284,37.939
10.319,27.620,37.939
11.015,26.925,37.939
11.739,26.200,37.939
12.492,25.447,37.939
13.271,24.668,37.939
14.074,23.866,37.939
14.898,23.041,37.939
15.742,22.198,37.939
16.603,21.337,37.939
17.478,20.461,37.939
18.366,19.574,37.939
19.262,18.677,37.939
20.166,17.774,37.939
21.074,16.866,37.939
21.983,15.957,37.939
22.890,15.049,37.940
23.794,14.146,37.940
24.690,13.249,37.940
25.577,12.362,37.940
26.452,11.487,37.940
27.312,10.628,37.940
28.154,9.785,37.940
28.976,8.964,37.940
29.775,8.165,37.940
30.549,7.391,37.940
31.295,6.644,37.940
32.011,5.928,37.940
32.696,5.244,37.940
33.345,4.594,37.940
33.959,3.981,37.940
34.534,3.405,37.940
35.070,2.870,37.940
35.563,2.376,37.940
36.014,1.926,37.940
36.419,1.520,37.940
36.779,1.160,37.940
