Symplectic Euler,,
E_c,E_p,E_m
37.888,0.025,37.913
37.787,0.101,37.888
37.636,0.227,37.863
37.435,0.403,37.838
37.185,0.629,37.814
36.887,0.903,37.790
36.541,1.225,37.766
36.150,1.594,37.743
35.713,2.008,37.721
35.233,2.467,37.699
34.710,2.968,37.678
34.147,3.511,37.658
33.545,4.094,37.639
32.906,4.715,37.621
32.233,5.371,37.604
31.526,6.062,37.588
30.789,6.784,37.573
30.023,7.535,37.559
29.232,8.314,37.546
28.417,9.118,37.535
27.581,9.944,37.524
26.726,10.790,37.516
25.856,11.652,37.508
24.972,12.530,37.502
24.078,13.419,37.497
23.176,14.317,37.493
22.270,15.221,37.491
21.361,16.130,37.490
20.452,17.039,37.491
19.547,17.946,37.493
18.648,18.848,37.496
17.757,19.744,37.501
16.878,20.629,37.507
16.012,21.502,37.514
15.162,22.360,37.522
14.332,23.200,37.532
13.522,24.021,37.543
12.735,24.819,37.555
11.974,25.594,37.568
11.240,26.341,37.581
10.535,27.061,37.596
9.862,27.750,37.612
9.220,28.408,37.628
8.613,29.033,37.645
8.040,29.623,37.663
7.503,30.178,37.681
7.003,30.696,37.699
6.541,31.177,37.718
6.116,31.621,37.737
5.728,32.027,37.756
5.378,32.396,37.774
5.066,32.727,37.793
4.789,33.022,37.811
4.548,33.280,37.828
4.341,33.504,37.845
4.168,33.694,37.862
4.026,33.851,37.877
3.914,33.978,37.892
3.833,34.074,37.907
3.779,34.142,37.921
3.753,34.182,37.934
3.754,34.194,37.948
3.782,34.179,37.962
3.838,34.137,37.976
3.923,34.067,37.990
4.037,33.968,38.005
4.181,33.839,38.020
4.357,33.679,38.037
4.567,33.486,38.053
4.811,33.260,38.071
5.091,32.998,38.089
5.407,32.700,38.107
5.760,32.366,38.126
6.150,31.994,38.145
6.579,31.585,38.163
7.044,31.138,38.182
7.548,30.653,38.201
8.087,30.132,38.219
8.663,29.574,38.237
9.273,28.981,38.254
9.918,28.353,38.271
10.594,27.693,38.287
11.301,27.001,38.302
12.038,26.279,38.317
12.801,25.529,38.330
13.590,24.752,38.342
14.401,23.952,38.353
15.234,23.130,38.364
16.085,22.288,38.373
16.952,21.428,38.380
17.832,20.554,38.387
18.724,19.668,38.392
19.624,18.772,38.396
20.529,17.869,38.398
21.438,16.961,38.399
22.347,16.052,38.399
23.253,15.144,38.398
24.154,14.240,38.395
25.048,13.343,38.390
25.930,12.455,38.385
26.799,11.578,38.378
27.652,10.717,38.369
28.487,9.873,38.360
29.300,9.049,38.349
30.089,8.247,38.337
30.853,7.471,38.323
31.587,6.721,38.309
32.291,6.002,38.293
32.962,5.314,38.276
33.598,4.661,38.258
34.196,4.043,38.240
34.756,3.464,38.220
35.275,2.924,38.199
35.752,2.426,38.178
36.185,1.971,38.156
36.573,1.561,38.133
36.914,1.196,38.110
37.208,0.878,38.086
37.454,0.608,38.062
37.651,0.387,38.037
37.798,0.215,38.012
37.894,0.093,37.987
37.941,0.021,37.962
37.936,0.000,37.936
37.881,0.030,37.911
37.776,0.110,37.886
37.621,0.240,37.861
37.416,0.421,37.836
37.162,0.650,37.812
36.859,0.929,37.788
36.510,1.254,37.764
36.114,1.627,37.741
35.674,2.045,37.719
35.190,2.508,37.698
34.664,3.013,37.677
34.097,3.559,37.657
33.492,4.145,37.638
32.850,4.769,37.620
32.174,5.429,37.602
31.465,6.122,37.586
30.725,6.847,37.571
29.957,7.601,37.558
29.163,8.382,37.545
28.346,9.187,37.534
